Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/07/23,118.74395305892656,120.10681106053734,118.50780954189767,119.76947021484375,2823397,0.0,0.0
2019/07/24,119.37140415687776,121.63832775574986,118.91937136151515,121.05136108398438,4224631,0.0,0.0
2019/07/25,126.17222236653095,126.65125684556911,119.18927227213042,120.1810531616211,8804952,0.0,0.0
2019/07/26,119.8436947310495,120.35645337928439,115.08043838200045,117.38111114501953,4803256,0.0,0.0
2019/07/29,117.27990261523092,119.83694857059845,117.16521065091014,119.25672912597656,3156124,0.0,0.0
2019/07/30,118.51457493689176,119.9651358696895,117.25966138186142,119.84369659423828,2366764,0.0,0.0
2019/07/31,119.85718520451653,120.10682336595825,116.98978772234477,117.88037109375,3606897,0.0,0.0
2019/08/01,117.92761055207305,119.87068824884506,116.74017007761996,116.96280670166016,2847915,0.0,0.0
2019/08/02,116.62545040384188,116.6659342620003,114.56766869876213,115.06693267822266,2898028,0.0,0.0
2019/08/05,113.98746621553306,114.03469739038712,110.9311560983995,111.12681579589844,3462061,0.0,0.0
2019/08/06,111.2010200475781,111.64630555077892,109.90562277103294,110.45211791992188,4179781,0.0,0.0
2019/08/07,109.29840420504036,110.61403097843854,106.62666680365135,110.40487670898438,7167867,0.0,0.0
2019/08/08,110.89740094409821,111.65305036457502,110.34417081047272,110.79620361328125,3899080,0.0,0.0
2019/08/09,111.0121045185844,111.15378570589347,109.31865295517815,110.29019165039062,1892192,0.0,0.0
2019/08/12,109.98659847433574,111.17403888170703,108.99481775022714,109.36588287353516,1762665,0.0,0.0
2019/08/13,109.67625551900258,113.26555395366769,109.39962809139492,111.24150848388672,3880542,0.0,0.0
2019/08/14,109.63575952600557,109.88538537043914,107.05172448874477,107.14618682861328,4851096,0.0,0.0
2019/08/15,107.61597375433674,108.73257105085901,105.961486322985,106.78533172607422,5325429,1.204013,0.0
2019/08/16,107.46619596242722,110.23726849432884,107.20065539826332,109.95812225341797,4164233,0.0,0.0
2019/08/19,111.46279353894266,111.62619831278022,110.14874629827925,110.94534301757812,3824808,0.0,0.0
2019/08/20,111.05428525166491,111.05428525166491,109.5904512071234,109.62449645996094,2465793,0.0,0.0
2019/08/21,110.76832201683006,111.42194112323251,109.65172478093815,109.71980285644531,1941826,0.0,0.0
2019/08/22,110.29852114944532,110.93171302703568,109.03893401822539,109.53595733642578,1724154,0.0,0.0
2019/08/23,108.99129153822012,109.17511103120299,105.7163746836846,106.11127471923828,5051784,0.0,0.0
2019/08/26,106.90105784893117,107.21424927412959,105.5870107028833,106.29508972167969,2649499,0.0,0.0
2019/08/27,107.11894537158027,107.22106869827934,105.80488567311163,106.0431900024414,2728196,0.0,0.0
2019/08/28,105.60063716341023,107.42532588857286,104.8516913632025,107.26873016357422,2806892,0.0,0.0
2019/08/29,108.46023332461377,109.63811206909706,108.29001948956964,109.18193054199219,3791918,0.0,0.0
2019/08/30,110.00579443755652,110.40068215206986,109.21599415797667,110.10791778564453,2352532,0.0,0.0
2019/09/03,109.89001002877556,110.04660574581548,107.07127469678393,108.01084899902344,2195617,0.0,0.0
2019/09/04,108.82109989742973,109.36577428817019,108.24917687682127,108.98450469970703,1801894,0.0,0.0
2019/09/05,110.63894734138538,113.3010867530286,110.56404780078185,111.81682586669922,2895994,0.0,0.0
2019/09/06,112.0959733060387,112.25937806212357,110.94533096422128,111.61937713623047,2107711,0.0,0.0
2019/09/09,112.3410933960426,114.28152343786529,112.1300252827259,112.98109436035156,3697195,0.0,0.0
2019/09/10,113.13090822844266,115.13262019824906,113.02878488468203,114.9692153930664,3875279,0.0,0.0
2019/09/11,115.65006495667893,115.67049210945083,112.59302474677499,114.43814086914062,4280604,0.0,0.0
2019/09/12,115.48667006299225,117.00497672175611,114.79900556180459,116.14028930664062,3432998,0.0,0.0
2019/09/13,116.14709038611471,117.43391405584015,115.65006693598497,116.72582244873047,3030903,0.0,0.0
2019/09/16,116.5692177756734,116.5692177756734,114.32239263290523,115.52069854736328,2941323,0.0,0.0
2019/09/17,114.22026448378367,114.77174785148513,113.362386280913,114.43132019042969,3248814,0.0,0.0
2019/09/18,114.11812942986893,114.41771521664259,112.51131781799072,114.00238800048828,2507653,0.0,0.0
2019/09/19,113.96836550824727,114.93518871382953,113.6415558803897,113.75048828125,1941108,0.0,0.0
2019/09/20,113.99559021916019,115.18027810699593,113.34878008030469,113.53942108154297,4423884,0.0,0.0
2019/09/23,112.67473373766153,113.99559021916019,112.00068739501836,113.53942108154297,2318566,0.0,0.0
2019/09/24,113.73684876128254,114.07727639111425,111.76917010270239,112.16407012939453,3572213,0.0,0.0
2019/09/25,112.17769834374836,112.32748502334792,111.44917967114104,111.66024780273438,3298807,0.0,0.0
2019/09/26,111.66024848337787,111.93939469361398,110.84322457818448,111.54449462890625,3304907,0.0,0.0
2019/09/27,111.98707290822887,112.7768607171897,111.33345369732669,112.0211181640625,3432879,0.0,0.0
2019/09/30,112.48407480347836,112.72918817321442,111.619387597451,111.93257904052734,3000166,0.0,0.0
2019/10/01,112.34109984509,112.48407747029519,107.69085416190418,107.83383178710938,3912714,0.0,0.0
2019/10/02,106.93511158171424,107.0440439566485,105.28062425601901,105.97509765625,3554871,0.0,0.0
2019/10/03,105.6278817458294,105.84575896385427,102.67978616488332,105.68916320800781,3618737,0.0,0.0
2019/10/04,105.68913413191366,106.24743891344906,105.12402030089834,106.0908432006836,3165094,0.0,0.0
2019/10/07,105.53255968883859,105.7708516181172,104.52489471435547,104.52489471435547,2955555,0.0,0.0
2019/10/08,103.71466886777266,104.0346693927496,102.52317199965064,102.63211059570312,3327033,0.0,0.0
2019/10/09,103.7214758537088,103.78956014514735,102.66615380481822,102.80232238769531,4016886,0.0,0.0
2019/10/10,102.77507971715421,104.23211701047076,102.72061352995905,103.70104217529297,3817632,0.0,0.0
2019/10/11,104.94020935615666,108.664486809745,104.92659125447607,107.64320373535156,5585559,0.0,0.0
2019/10/14,107.60236157555171,110.5640750284197,107.12576529379683,109.28407287597656,3910681,0.0,0.0
2019/10/15,108.4942781750389,111.67388141522197,108.4942781750389,110.96578979492188,3705926,0.0,0.0
2019/10/16,111.04748744569122,111.79643338285588,110.38025012361041,110.42110443115234,2314499,0.0,0.0
2019/10/17,111.0747191725977,112.67473432599915,111.03386486670287,111.3470687866211,2325742,0.0,0.0
2019/10/18,111.3606816272887,111.84408694837896,110.96578153951359,111.04747772216797,3221665,0.0,0.0
2019/10/21,112.66109387819708,113.12407197734899,112.17768863014939,112.98109436035156,2390326,0.0,0.0
2019/10/22,113.2057779311793,115.00323031405951,112.40916884392554,114.07046508789062,2468544,0.0,0.0
2019/10/23,113.9819482292639,114.90110778808594,113.40322872116394,114.90110778808594,3243911,0.0,0.0
2019/10/24,112.45003839300941,112.51131984657866,108.68490687973674,110.22364044189453,7120147,0.0,0.0
2019/10/25,110.64576796545411,114.1317405620513,110.38703649612032,113.08322143554688,3713341,0.0,0.0
2019/10/28,113.34876372565415,115.54792533561965,113.1581227519227,115.10536193847656,3753048,0.0,0.0
2019/10/29,114.40409676138508,115.71133500771077,114.05005099879284,114.93516540527344,3192602,0.0,0.0
